Date;Daily total dose;Daily cases;Daily deaths;Daily recovery;Seriously ill
13.01.2021;119;9.554;173;9.463;2.652
14.01.2021;247.267;8.962;170;9.011;2.512
15.01.2021;372.109;8.314;169;9.109;2.311
16.01.2021;58.968;7.550;168;8.005;2.265
17.01.2021;25.436;6.436;165;8.812;2.201
18.01.2021;105.714;5.862;164;7.905;2.183
19.01.2021;142.209;6.818;167;7.218;2.162
20.01.2021;101.463;6.435;159;5.932;2.102
21.01.2021;74.593;6.289;153;6.113;2.074
22.01.2021;74.593;5.967;149;6.018;2.003
23.01.2021;21.869;5.856;144;5.811;1.962
24.01.2021;21.869;5.277;140;5.860;1.905
25.01.2021;56.760;5.642;137;6.628;1.808
26.01.2021;107.426;7.103;134;8.108;1.791
27.01.2021;112.679;7.489;132;8.803;1.765
28.01.2021;174.936;7.279;129;8.902;1.751
29.01.2021;230.534;6.912;131;8.093;1.740
30.01.2021;32.416;6.871;129;7.100;1.692
31.01.2021;25.281;6.562;128;7.006;1.634
01.02.2021;151.337;7.719;124;8.016;1.615
02.02.2021;145.178;7.795;120;8.639;1.592
03.02.2021;117.790;8.102;117;8.314;1.523
04.02.2021;100.306;7.909;113;8.815;1.501
05.02.2021;89.215;7.901;110;8.217;1.423
06.02.2021;14.408;7.897;108;8.089;1.337
07.02.2021;8.268;6.670;112;8.201;1.317
08.02.2021;81.617;8.103;103;8.567;1.310
09.02.2021;65.621;8.636;98;8.109;1.310
10.02.2021;50.952;8.642;95;7.903;1.308
11.02.2021;79.868;7.590;94;7.811;1.256
12.02.2021;551.456;7.763;97;8.108;1.250
13.02.2021;166.078;7.706;93;7.215;1.235
14.02.2021;119.273;6.287;94;6.910;1.230
15.02.2021;686.570;7.945;91;7.106;1.232
16.02.2021;586.282;7.906;90;7.189;1.201
17.02.2021;525.038;7.325;86;7.209;1.193
18.02.2021;450.842;7.241;83;7.217;1.187
19.02.2021;357.096;7.419;82;7.498;1.185
20.02.2021;48.162;7.857;80;7.210;1.180
21.02.2021;29.920;6.546;77;5.002;1.185
22.02.2021;485.538;8.104;78;5.690;1.189
23.02.2021;374.816;9.107;75;5.546;1.185
24.02.2021;324.974;9.561;72;5.297;1.200
25.02.2021;323.153;9.572;73;6.210;1.192
26.02.2021;372.303;9.205;74;10.282;1.195
27.02.2021;64.862;9.193;71;8.938;1.187
28.02.2021;42.981;8.424;66;6.511;1.191
01.03.2021;320.265;9.891;69;5.947;1.215
02.03.2021;284.529;11.837;68;7.892;1.227
03.03.2021;248.898;11.520;65;7.191;1.224
04.03.2021;223.523;11.322;68;7.873;1.220
05.03.2021;214.825;11.302;62;7.711;1.232
06.03.2021;33.537;11.770;64;7.291;1.230
07.03.2021;16.839;11.187;65;7.785;1.261
08.03.2021;200.646;13.215;64;8.106;1.239
09.03.2021;158.749;13.755;66;8.639;1.289
10.03.2021;133.135;14.556;67;9.193;1.309
11.03.2021;144.209;14.046;63;9.231;1.310
12.03.2021;312.447;14.941;66;11.180;1.349
13.03.2021;90.343;15.082;65;15.287;1.350
14.03.2021;73.320;13.378;68;15.516;1.392
15.03.2021;472.995;15.503;63;15.893;1.425
16.03.2021;445.796;16.749;71;17.893;1.474
17.03.2021;401.437;18.912;73;17.161;1.484
18.03.2021;352.663;20.049;81;18.615;1.503
19.03.2021;312.703;21.030;87;18.119;1.547
20.03.2021;31.078;21.061;95;18.815;1.538
21.03.2021;15.123;20.428;102;17.615;1.568
22.03.2021;423.304;22.216;117;19.494;1.644
23.03.2021;342.852;26.182;138;19.201;1.710
24.03.2021;299.650;29.762;146;17.761;1.720
25.03.2021;261.743;28.731;157;19.186;1.790
26.03.2021;258.991;29.081;153;20.208;1.810
27.03.2021;0;30.021;151;18.892;1.886
28.03.2021;62.750;29.058;153;17.164;1.968
29.03.2021;489.535;32.404;154;18.015;1.998
30.03.2021;463.062;37.303;155;19.925;2.054
31.03.2021;371.790;39.302;152;19.193;2.082
01.04.2021;271.543;40.806;176;20.817;2.135
02.04.2021;283.070;42.308;179;24.419;2.182
03.04.2021;74.487;44.756;186;23.214;2.231
04.04.2021;129.274;41.998;185;22.674;2.311
05.04.2021;406.451;42.551;193;25.627;2.407
06.04.2021;459.365;49.584;211;28.498;2.477
07.04.2021;303.478;54.740;276;35.503;2.604
08.04.2021;239.674;55.941;258;37.914;2.615
09.04.2021;221.910;55.791;253;35.786;2.658
10.04.2021;52.569;52.676;248;32.539;2.739
11.04.2021;34.271;50.678;237;30.194;2.824
12.04.2021;443.712;54.562;243;41.218;2.891
13.04.2021;230.598;59.187;273;52.104;2.951
14.04.2021;167.236;62.797;279;55.413;3.018
15.04.2021;355.743;61.400;297;54.894;3.080
16.04.2021;210.786;63.082;289;56.510;3.205
17.04.2021;39.954;62.606;288;52.184;3.240
18.04.2021;23.986;55.802;318;43.856;3.275
19.04.2021;210.347;55.149;341;48.947;3.319
20.04.2021;222.782;61.028;346;55.592;3.375
21.04.2021;204.888;61.967;362;52.213;3.398
22.04.2021;216.882;54.791;354;65.593;3.463
23.04.2021;143.436;49.438;343;60.176;3.475
24.04.2021;114.255;40.596;339;52.297;3.511
25.04.2021;93.929;38.553;347;51.236;3.590
26.04.2021;369.601;37.312;353;48.027;3.563
27.04.2021;396.534;43.301;346;45.592;3.549
28.04.2021;360.319;40.444;341;45.198;3.558
29.04.2021;285.855;37.674;339;43.253;3.581
30.04.2021;254.830;31.891;394;68.183;3.534
01.05.2021;98.569;28.817;373;81.302;3.525
02.05.2021;119.626;25.980;340;75.182;3.532
03.05.2021;456.346;24.733;347;35.438;3.438
04.05.2021;411.401;28.997;336;38.218;3.452
05.05.2021;331.321;26.476;356;35.464;3.418
06.05.2021;292.279;22.388;304;37.298;3.378
07.05.2021;251.581;20.107;278;35.529;3.260
08.05.2021;74.518;18.052;281;28.896;3.175
09.05.2021;50.092;15.191;283;25.694;3.081
10.05.2021;203.286;13.604;282;26.953;2.983
11.05.2021;143.846;14.497;278;22.253;2.975
12.05.2021;81.532;13.029;232;35.167;2.827
13.05.2021;127.543;11.534;238;55.472;2.765
14.05.2021;142.777;11.394;242;37.261;2.670
15.05.2021;87.525;11.472;236;38.814;2.563
16.05.2021;66.472;10.512;223;14.418;2.468
17.05.2021;433.673;10.174;223;13.864;2.326
18.05.2021;509.646;11.937;203;10.125;2.232
19.05.2021;194.814;11.553;233;9.271;2.162
20.05.2021;367.207;9.385;207;9.271;2.041
21.05.2021;344.409;9.528;214;8.852;1.977
22.05.2021;124.442;8.697;231;14.472;1.876
23.05.2021;94.987;7.839;197;11.202;1.843
24.05.2021;210.087;7.523;178;10.003;1.745
25.05.2021;167.102;9.375;175;11.192;1.667
26.05.2021;151.827;8.738;166;12.205;1.561
27.05.2021;140.462;8.426;183;13.102;1.504
28.05.2021;147.458;7.773;164;12.284;
29.05.2021;81.616;7.656;137;11.180;1.391
30.05.2021;62.674;6.933;134;10.763;1.390
31.05.2021;243.541;6.493;122;9.582;1.339
01.06.2021;181.467;7.112;129;9.457;1.241
02.06.2021;281.507;7.181;112;7.372;1.213
03.06.2021;291.549;6.602;114;8.540;1.219
04.06.2021;362.141;6.169;94;7.617;1.183
05.06.2021;295.987;6.126;92;7.161;1.147
06.06.2021;242.294;5.386;96;6.003;1.096
07.06.2021;387.144;5.647;91;6.576;1.060
08.06.2021;338.764;6.609;86;5.836;1.044
09.06.2021;346.310;6.454;87;6.647;1.018
10.06.2021;476.753;6.408;96;6.895;1.009
11.06.2021;594.710;6.261;69;6.217;997
12.06.2021;452.784;6.076;75;5.112;973
13.06.2021;456.118;5.012;53;4.194;952
14.06.2021;841.183;5.626;74;4.585;929
15.06.2021;1.238.007;5.955;84;4.186;886
16.06.2021;1.419.040;6.221;71;4.632;881
17.06.2021;1.582.633;5.904;62;4.143;860
18.06.2021;1.538.471;5.575;59;4.427;856
19.06.2021;620.320;5.480;51;4.195;829
20.06.2021;566.459;5.091;63;4.219;813
21.06.2021;1.195.338;5.294;51;5.093;808
22.06.2021;964.380;6.143;57;5.214;791
23.06.2021;902.957;5.809;65;5.917;763
24.06.2021;841.098;5.703;59;5.846;752
25.06.2021;996.979;5.630;56;7.184;737
26.06.2021;460.962;5.266;51;7.402;733
27.06.2021;397.459;4.883;52;5.937;736
28.06.2021;1.070.580;5.283;58;5.327;751
29.06.2021;720.248;5.846;53;6.536;730
30.06.2021;629.386;5.496;45;7.191;727
01.07.2021;643.864;5.288;42;6.219;706
02.07.2021;1.171.319;4.891;55;5.352;697
03.07.2021;428.651;4.537;45;4.913;702
04.07.2021;316.427;4.418;50;4.161;
05.07.2021;1.081.329;4.678;35;4.735;
06.07.2021;867.459;5.299;37;4.446;
07.07.2021;802.515;5.160;52;4.636;
08.07.2021;838.864;5.171;48;5.012;
09.07.2021;856.439;5.670;59;5.126;
10.07.2021;370.710;5.530;37;5.217;
11.07.2021;318.727;5.261;37;5.242;
12.07.2021;901.706;5.404;49;5.506;
13.07.2021;893.903;6.285;46;5.162;
14.07.2021;1.033.612;6.907;43;5.063;
15.07.2021;644.033;7.304;48;5.103;
16.07.2021;1.132.484;6.918;35;5.084;
17.07.2021;548.407;7.666;38;5.490;
